comment,posting_time,rating
"Leider sind die Regale zu oft leer und die Angebote sind nicht vorhanden.(Passiert nicht nur einmal ,sondern in letzter Zeit oft) Echt schade aber so langsam muß man sich überlegen weiter da einzukaufen.",2 days ago,
"Es ist bei Aldi immer das gleiche  , eine Riesen Schlange aber nur eine Kasse auf. Manchmal glaubt man das Aldi nichts Verkaufen will. Heute hatte ich die Nase vollund bin ich aus dem Aldi Markt rausgegangen ohne Einzukaufen. Auf die Frage von einem anderen Kunden ob eine weitere Kasse geöffnet werden kann , wurde ignoriert und nicht reagiert.",6 days ago,Rated 2 out of 5 stars
"Ich und mehrere Kunden haben daraufhin den Markt verlassen. Ich bin dann zu Lidl gegangen , weil mir schon öffters aufgefallen ist das kurioser weise bei Lidl ab dem vierten Kunden eine zweite Kasse geöffnet wird !","Apr 16, 2024",Rated 1 out of 5 stars
"1 Stern ist noch zuviel. Wollte eine Bestellung stornieren, dies war angeblich nicht mehr möglich obwohl die Ware noch nicht versandt wurde. Mir wurde geraten die Annahme bei Lieferung zu verweigern. Hatte ich auch gleich online bei DHL gemacht und die Ware wurde mit DHL Nachweis an den ursprünglichen Absender zurückgeschickt. Nun behauptet Aldi die Ware wäre nicht angekommen und will den Kaufbetrag nicht erstatten.","Apr 15, 2024",Rated 1 out of 5 stars
Aldi im Bruch Bad Dürkheim.,"Apr 16, 2024",Rated 1 out of 5 stars
Ich finde das neue Kassensystem das aller letzte.,"Apr 14, 2024",Rated 1 out of 5 stars
"Ich habe mit der Karte bezahlt, nach dem bezahlen kam nicht mal ein danke, geschweige denn ein freundliches  Aufwiedersehen! Im Gegenteil, während ich noch die Bankkarte aus dem Geldbeutel holte, wurde schon der nächste Kunde abkassiert. Sowas unpersönlichen hab ich noch nicht erlebt. Hauptsache der rollende Rubel wird nicht unterbrochen!!! Dann lieber in Zukunft zu Lidl ","Apr 8, 2024",Rated 1 out of 5 stars
Habe über online Shop ein Ergometer gekauft. Wurde auch geliefert aber das Display zeigt eine falsche Zeit an d.h. wenn ich eine Minute gefahren bin zeigt mir die Zeit am Ergometer 45 Sekunden an. Damit kann auch die Strecke und der Kalorienverbrauch angezweifelt werden. Jetzt soll ich das Display zur Reparatur einschicken.  Niemand kann sagen wie lange das dauert und ich habe dann ein nutzloses Gerät rumstehen. Trainiere täglich. Ein Tausch des Display ist nicht möglich. Unter Kundenservice verstehe ich etwas anderes.  Aber aldi scheint das ja auch nicht zu interessieren. ,"Apr 11, 2024",Rated 1 out of 5 stars
Aldi Süd an der Helmut-Grasshofstraße Mönchengladbach ,"Apr 5, 2024",Rated 1 out of 5 stars
"Gestern war ein Heimspiel in Mönchengladbach und ich wollte Putenschnitzel für heute kaufen. In der Filiale Monschauerstraße gab es keine Putenschnitzel mehr, also wollte ich zur nächsten Filiale auf der Helmut-Grashofstraße fahren. ","Apr 6, 2024",Rated 1 out of 5 stars
